rank,faculty_name,institution,country_code,priority_bucket,grad_advisor_fit,advisor_competitiveness,focus_tags,why_research_now,first_action_for_theo,suggested_outreach_window,openalex_profile_url
81,Santiago José Elías Velazco,Consejo Nacional de Investigaciones Científicas y Técnicas,AR,C - keep on longlist,Possible (manual verification needed),Selective but variable,species_distribution,Recurring publication signal (5 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5030871172
82,Laura J. Pollock,McGill University,CA,C - keep on longlist,Strong (university advisor pipeline),Selective but variable,food_webs; species_distribution,"Recurring publication signal (6 matched works) in food_webs, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5025863217
83,Jacob W. Bentley,University of Kent,GB,C - keep on longlist,Strong (university advisor pipeline),Selective but variable,food_webs; ecosystem_modeling,"Recurring publication signal (6 matched works) in food_webs, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5018721129
84,Jasper A. Slingsby,University of Cape Town,ZA,C - keep on longlist,Strong (university advisor pipeline),Selective but variable,remote_sensing; forecasting,"Recurring publication signal (6 matched works) in remote_sensing, forecasting; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5075161633
85,Thomas Hickler,Goethe University Frankfurt,DE,C - keep on longlist,Strong (university advisor pipeline),Moderate,ecosystem_modeling; species_distribution,"Recurring publication signal (5 matched works) in ecosystem_modeling, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5076816357
86,Gleb Tikhonov,University of Helsinki,FI,C - keep on longlist,Strong (university advisor pipeline),Selective but variable,joint_models; species_distribution,"Recurring publication signal (4 matched works) in joint_models, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5038409565
87,Aleksi Lehikoinen,University of Helsinki,FI,C - keep on longlist,Strong (university advisor pipeline),Moderate,species_distribution; joint_models,"Recurring publication signal (4 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5044509012
88,Anna Kuparinen,University of Jyväskylä,FI,C - keep on longlist,Strong (university advisor pipeline),Moderate,food_webs; ecological_networks,"Recurring publication signal (6 matched works) in food_webs, ecological_networks; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5058555514
89,Rafael O. Wüest,"Swiss Federal Institute for Forest, Snow and Landscape Research",CH,C - keep on longlist,Possible (manual verification needed),Selective but variable,species_distribution; joint_models,"Recurring publication signal (5 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5066761839
90,Villy Christensen,Fisheries and Oceans Canada,CA,C - keep on longlist,Possible (manual verification needed),Moderate,ecosystem_modeling; food_webs,"Recurring publication signal (6 matched works) in ecosystem_modeling, food_webs; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5056431614
